Game,Year,Host,Developer,Genre,Status,Description,URL,NewsGame
#RNC Spotter Guide,2012,UK Guardian,UK Guardian,Chance,Live,Track which GOP celebrities you saw at the #RNC! ,"http://www.guardian.co.uk/world/interactive/2012/aug/27/republican-national-convention-2012-spotters-guide#spotted/2,3,1 ",TRUE
"1,000 Days of Syria",2014,Mitch Swenson,Mitch Swenson,Choose Your Own Adventure,Live,"Hypertext game documenting the first 1,000 days of the Syrian Civil War.",http://www.1000daysofsyria.com/,TRUE
AmeriClap,2014,Chris Bulch,Chris Bulch,Other,Live,A glame where you use your microphone to clap at an American flag for as longas you can.,https://bulchyc.itch.io/americlap,FALSE
Amnesty the Game,2011,Amnesty International,Hellenic Game Developers Association,Simulation,Unplayable,"Play the role of officials from Amnesty International as you tackle the issue of the death penalty in one of six countries, including the USA.",https://en.wikipedia.org/wiki/Amnesty_the_game,FALSE
Are you a Slut? ,2012,Mother Jones,Mother Jones,Quiz,Live,"An interactive quiz-based game to determine how ""slutty"" you are. ",http://www.motherjones.com/mojo/2012/03/flow-chart-are-you-slut ,TRUE
Astrophysicists ,2012,Wired Magazine,Game the News,Sidescroller,Live,An interactive journey exploring the story of a nomad planet.,http://www.wired.co.uk/news/archive/2012-11/28/gamify-today ,TRUE
Bomb the Right Place,2016,GOP Arcade,GOP Arcade,Puzzle,Live,A satirical game that tests your geography skills with drone strikes.,http://www.thegoparcade.com/game/bomb-the-right-place,FALSE
BooFlag,2015,Molleindustria,Molleindustria,Other,Live,A game where you boo into you mic and watch the Confederate flag burn.,http://molleindustria.org/booFlag/,FALSE
Budget Hero ,2008,American Public Media,American Public Media,Budgetary,Unplayable,Marketplace attempt to let player decide how to reduce Federal budget deficit. ,http://www.publicinsightnetwork.org/budgethero/,TRUE
Budget Puzzle: You Fix the Budget ,2010,New York Times,New York Times,Budgetary,Unplayable,"NYT attempt at fix-the-budget game, published 2010. ",http://www.nytimes.com/interactive/2010/11/13/weekinreview/deficits-graphic.html ,TRUE
Can I Get Pregnant?,2012,Mother Jones,Mother Jones,Quiz,Live,Another great quiz/CYOA game from MoJo. ,http://www.motherjones.com/politics/2012/08/flowchart-can-i-get-pregnant ,TRUE
Charlie Sheen v Muammar Gaddafi: whose line is it anyway? ,2011,UK Guardian,UK Guardian,Quiz,Live,Quiz game about quotes from the two celebs. ,http://www.guardian.co.uk/world/quiz/2011/mar/01/muammar-gaddafi-charlie-sheen-quiz ,TRUE
